,0,1
0,31,0
1,32,0
2,34,2
3,15,3
4,22,3
5,38,3
6,0,4
7,22,6
8,9,6
9,17,7
10,3,8
11,4,9
12,36,10
13,22,12
14,38,12
15,11,13
16,2,13
17,23,13
18,15,14
19,21,14
20,38,14
21,3,17
22,0,18
23,1,19
24,17,19
25,6,19
26,9,19
27,3,21
28,8,21
29,38,22
30,9,22
31,11,23
32,10,24
33,28,24
34,4,24
35,10,25
36,34,25
37,37,25
38,4,25
39,1,26
40,25,26
41,32,26
42,5,26
43,15,27
44,16,27
45,3,28
46,8,28
47,1,29
48,10,29
49,15,29
50,26,29
51,5,31
52,11,33
53,32,33
54,24,34
55,35,34
56,10,35
57,36,35
58,20,36
59,7,36
60,8,36
61,15,38
62,1,39
